"","Person"
"118","German Reimann"
"119","Gianni Versace"
"120","Greg Abel"
"121","Greg Boester"
"122","Gregg Steinhafel"
"123","Gus Sauter"
"124","Guy King"
"125","Harold Hamm"
"126","Harriet Green"
"127","Hassan Rouhani"
"128","Henry Ford"
"129","Henry Kravis"
"130","Hillary Clinton"
"131","Houston Rockets"
"132","Howard Dean"
"133","Howard Hughes"
"134","Hugo Chavez"
"135","Ira Sohn"
"136","Israel Englander"
"137","Ivy League"
"138","Jack Bogle"
"139","Jack Dorsey"
"140","Jack Ma"
"141","Jackson Hole"
"142","Jake Wood"
"143","James Clark"
"144","James Kotecki"
"145","James Packer"
"146","Jamie Perrett"
"147","Janet Yellen"
"148","Jason Hallowns"
"149","Jason Healy"
"150","Jay Schottenstein"
"151","Jeff Gundlach"
"152","Jeffrey Gundlach"
"153","Jeffrey Katzenberg"
"154","Jennifer Lum"
"155","Jeremy Helsby"
"156","Jim Chanos"
"157","Jimmy Choo"
"158","Joann Crupi"
"159","Joe Kaeser"
"160","Joe Tsai"
"161","John Bossler"
"162","John Browne"
"163","John Hussman"
"164","John Kueber"
"165","John L"
"166","John Legere"
"167","John Lepore"
"168","John Lewis"
"169","John Luttrell"
"170","John Paulson"
"171","John Paulsonto"
"172","John Soranno"
"173","John Thiel"
"174","John Thompson"
"175","Jon Fenn"
"176","Jon Huntsman"
"177","Jonathan Levin"
"178","Jonathan Zabusky"
"179","Jordan Belforta"
"180","Joseph B"
"181","Joseph Magnacca"
"182","Joseph Tsai"
"183","Juan Cortina"
"184","Julian Robertson"
"185","Katherine Collins"
"186","Kelly Bourdet"
"187","Ken Chace"
"188","Ken Griffin"
"189","Ken Langone"
"190","Kurt Feuerman"
"191","Kyle Bass"
"192","Lane Crawford"
"193","Larry Ellison"
"194","Larry Levitt"
"195","Larry Page"
"196","Lee Kun"
"197","Lenora Yerkes"
"198","Leon Black"
"199","Leon Cooperman"
"200","Leon Fraser"
"201","Leonard Riggio"
"202","Leopoldo Lopez"
"203","Lester Lanin"
"204","Linda Wolf"
"205","Lloyd Blankfein"
"206","London First"
"207","Louis Beryl"
"208","Louis Cheung"
"209","Louis Fed"
"210","Luca Cafiero"
"211","Lyndon Johnson"
"212","Marc Andreessen"
"213","Marc Lasry"
"214","Maria Bartiromo"
"215","Marie Claire"
"216","Mario Draghi"
"217","Marissa Mayer"
"218","Mark Axelowitza"
"219","Mark Axelowtiz"
"220","Mark Burford"
"221","Mark Cuban"
"222","Mark Dow"
"223","Mark Fields"
"224","Mark Hughes"
"225","Mark Notkin"
"226","Mark Spitznagel"
"227","Mark Zuckerberg"
"228","Marshall Fields"
"229","Mary Ma"
"230","Matt Simister"
"231","Matteo Renzi"
"232","Maurice Levy"
"233","Maurice Lvy"
"234","Merrill Lynch"
"235","Michael Almer"
"236","Michael Beschloss"
"237","Michael Bloomberg"
"238","Michael Burns"
"239","Michael Casey"
"240","Michael Gallagher"
"241","Michael Lynch"
"242","Michael R"
"243","Michael Rubin"
"244","Michael Steinberg"
"245","Michael Weber"
"246","Michael Yao"
"247","Mike Andres"
"248","Mike Novogratz"
"249","Mike Smith"
"250","Mike Ullman"
"251","Milo Yiannopoulos"
"252","Mohamed Mursi"
"253","Murray Stahl"
"254","Neil Woodford"
"255","Nelson Peltz"
"256","Nicholas Schorsch"
"257","Nicholas Woodman"
"258","Nick Menere"
"259","Nick Verbitsky"
"260","Nicola Sturgeon"
"261","Nicolas Sarkozy"
"262","Olive Garden"
"263","Orrin Hatch"
"264","Patricia Russo"
"265","Patrick Maguire"
"266","Patrick Pouyanne"
"267","Patrick Pruniaux"
"268","Paul G"
"269","Paul Mangus"
"270","Paul Singer"
"271","Paul Volcker"
"272","Perry Capital"
"273","Pete Basiliere"
"274","Peter Borish"
"275","Peter Costello"
"276","Peter Harf"
"277","Peter J"
"278","Peter Munk"
"279","Peter Thiel"
"280","Peter Voser"
"281","Phil Falcone"
"282","Phil Mickelson"
"283","Phil Schiller"
"284","Philip Clarke"
"285","Philip Yea"
"286","Pierre Omidyar"
"287","Portia Consulting"
"288","Ralph Aldis"
"289","Ralph Whitworth"
"290","Randall Stephenson"
"291","Ray Dalio"
"292","Raymond Chevrolet"
"293","Raymond James"
"294","Rex Tillerson"
"295","Ricardo Salinas"
"296","Richard Branson"
"297","Richard Curtin"
"298","Richard Deitz"
"299","Richard Elman"
"300","Richard Gonzalez"
"301","Richard Nixon"
"302","Robert A"
"303","Robert D"
"304","Robert Enslin"
"305","Robert Toll"
"306","Robert Wilson"
"307","Rocky Cirino"
"308","Roger Bootle"
"309","Roger Buckeridge"
"310","Rogers Holdings"
"311","Roman Abramovich"
"312","Ron Burkle"
"313","Ron Johnson"
"314","Rose Blumkin"
"315","Roxanne S"
"316","Ruth Kapea"
"317","Sam Cole"
"318","Sam Walton"
"319","Samantha Barbash"
"320","Sanford Bernstein"
"321","Sarah Palin"
"322","Scott Kovalik"
"323","Scott Paul"
"324","Scott Thompson"
"325","Sean Parker"
"326","Sergio Ermotti"
"327","Seth Rogen"
"328","Shanna Orlich"
"329","Shawn Howard"
"330","Sheldon Adelson"
"331","Sheryl Sandberg"
"332","Simon Xie"
"333","Stanley Druckenmiller"
"334","Stanley Fischer"
"335","Stefan Stocker"
"336","Stephen Schwartz"
"337","Steve Caldeira"
"338","Steve Cohen"
"339","Steve Eisman"
"340","Steve Jobs"
"341","Steve Roberts"
"342","Steve Sapra"
"343","Steve Wynn"
"344","Steven A"
"345","Susan Zepeda"
"346","Thomas Kwok"
"347","Tim Cook"
"348","Tim Hortons"
"349","Tim Weingarten"
"350","Tobias Oriwol"
"351","Todd Picken"
"352","Tom Murphy"
"353","Tom Perkins"
"354","Tom Rotunno"
"355","Tom Steyer"
"356","Tony Ayaz"
"357","Tony Fernandes"
"358","Tony James"
"359","Travis Kalanick"
"360","Victor Yanukovich"
"361","Victor Yushchenko"
"362","Vince Camuto"
"363","Vladimir Putin"
"364","Vladimir Yevtushenkov"
"365","Warren Buffett"
"366","Wayne Gable"
"367","Whitney Tilson"
"368","Will Danoff"
"369","William A"
"370","William Ackman"
"371","William Franke"
"372","William Ruprecht"
"373","Xavier Niel"
"374","Zachary Warren"
"375","Aaron Mandell"
"376","Abdullah Abdullah"
"377","Ahmad Jauhari"
"378","Al Gore"
"379","Alan Herrick"
"380","Alana Kakoyiannis"
"381","Alejandro Sabella"
"382","Alessandro Profumo"
"383","Alex Green"
"384","Alfonso Cuarn"
"385","Ali Khamenei"
"386","Andrew Cunagin"
"387","Andrew Thorburn"
"388","Andrew Yang"
"389","Andy Roeser"
"390","Anne Richards"
"391","Antonio Brufau"
"392","Art Cashin"
"393","Barry Silbert"
"394","Betsy S"
"395","Bill Crager"
"396","Bill Ford"
"397","Bill Shorten"
"398","Bob Diamond"
"399","Boston College"
"400","Boston Consulting"
"401","Boston Federal"
"402","Brett Stapper"
"403","Brian Williamson"
"404","Bruce Berkowitz"
"405","Byron Wien"
"406","Carlos Ghosn"
"407","Cesar Alierta"
"408","Cesar Millan"
"409","Chad Holliday"
"410","Charles A"
"411","Charles Green"
"412","Charles Ledsinger"
"413","Charles Tandy"
"414","Charles Wyly"
"415","Christian Democratic"
"416","Christiana Trust"
"417","Cliff Asness"
"418","Clifford Asness"
"419","Craig Dawson"
"420","Cristina Fernandez"
"421","Dan Barbossa"
"422","Dan Gertler"
"423","Dan Rodrigues"
"424","Dan Schulman"
"425","Daniel DAniello"
"426","Daniel Schreiber"
"427","Dave Camp"
"428","David Batchelder"
"429","David Gonski"
"430","David Gurle"
"431","David Lord"
"432","David Schafer"
"433","David Skorton"
"434","David Systems"
"435","David Thomson"
"436","David Walker"
"437","David Webb"
"438","Dennis Kozlowski"
"439","Derek Shen"
"440","Dick Costolo"
"441","Dick Snyder"
"442","Dion Weisler"
"443","Don Kohn"
"444","Donovan Sung"
"445","Doug Hodge"
"446","Douglas Dillon"
"447","Dustin Moskovitz"
"448","Dylan Smith"
"449","Edison Electric"
"450","Edward Lampert"
"451","Emerald Asset"
"452","Emilio Lozoya"
"453","Eric Bandholz"
"454","Eric Cantor"
"455","Eric Schmidt"
"456","Erik Brynjolfsson"
"457","Errol Damelin"
"458","Esther George"
"459","Evan Spiegel"
"460","Francisco Fed"
"461","Frank Biondi"
"462","Fred Anderson"
"463","Frida Giannini"
"464","Gabriel Plotkin"
"465","Garrett Khoury"
"466","Georgia Association"
"467","Gerard Depardieu"
"468","German Association"
"469","Glen Bell"
"470","Graham Wallace"
"471","Guy Dupont"
"472","Hillary Rodham"
"473","Hugo Boss"
"474","Ian Bremmer"
"475","Ian Read"
"476","Jacques Chirac"
"477","Jacques Panis"
"478","James Stetler"
"479","Janet Yellenjust"
"480","Jason Ader"
"481","Javier Romero"
"482","Jay Gaines"
"483","Jeff Bezos"
"484","Jeff Clark"
"485","Jeff Skoll"
"486","Jeff Weiner"
"487","Jeffrey Skilling"
"488","Jesse Powell"
"489","Jill Woodman"
"490","Jim Boyce"
"491","Jim O"
"492","Jim ONeill"
"493","Jim Rogers"
"494","Jim Simons"
"495","Jimmy Carter"
"496","John Bogle"
"497","John Donahoe"
"498","John Edwards"
"499","John Malone"
"500","John Paul"
"501","John Smith"
"502","John Underwood"
"503","John W"
"504","John Williams"
"505","Johnson Associates"
"506","Jonathan Neman"
"507","Jonathan Wai"
"508","Jordan Belfort"
"509","Jorge Roig"
"510","Joseph Lupo"
"511","Joseph Safra"
"512","Joy Globals"
"513","Justin Gmoser"
"514","Katharine Graham"
"515","Ken Moelis"
"516","Kenneth Darth"
"517","Kevin Ryan"
"518","Larry Flynt"
"519","Larry Levittpredictedthe"
"520","Larry Summers"
"521","Laurel Leader"
"522","Lazaro Baez"
"523","Lee Roy"
"524","Leonard Blavatnik"
"525","Leonardo Del"
"526","Linda Fayne"
"527","London School"
"528","Lyndon B"
"529","Marc Caira"
"530","Marcel Telles"
"531","Marcelo Claure"
"532","Mark Firthplans"
"533","Mark Giannantonio"
"534","Mark King"
"535","Mark Lasry"
"536","Mark Spitznagelthe"
"537","Marquis Jet"
"538","Mathew Martoma"
"539","Matt Shattock"
"540","Matt Tsien"
"541","Michael Cavanagh"
"542","Michael Dell"
"543","Michael Gierse"
"544","Michael Glenn"
"545","Michael Gomez"
"546","Michael Todd"
"547","Mike Coupe"
"548","Mike Lynch"
"549","Mohamed El"
"550","Murray Edwards"
"551","Murray Tekmira"
"552","Nick Spanos"
"553","Nicolas Maduro"
"554","Nikita Khrushchev"
"555","Nikolai Boyko"
"556","Paris School"
"557","Paul Allen"
"558","Paul Choiselat"
"559","Paul Eremenko"
"560","Peter D"
"561","Peter Schiff"
"562","Porter Erisman"
"563","Raul Castro"
"564","Raymond Tusk"
"565","Richard Broadbent"
"566","Richard Davis"
"567","Richard Fisher"
"568","Richard Hutton"
"569","Richard Weil"
"570","Robert Wolf"
"571","Roger Ailes"
"572","Roger Jenkins"
"573","Roger Whiteside"
"574","Ron Coen"
"575","Ron Wayne"
"576","Ronnie Leten"
"577","Royal Bank"
"578","Ryan Giggs"
"579","Sam Walsh"
"580","Sam Wyly"
"581","Sam Zell"
"582","Sandra Pianalto"
"583","Sandy Weill"
"584","Sara Blakely"
"585","Scott Leonard"
"586","Scott Mather"
"587","Scott Phoenix"
"588","Stanley O"
"589","Stephen Hester"
"590","Steve Schwarzman"
"591","Steve Wozniak"
"592","Thomas A"
"593","Tim Brice"
"594","Tim Hudak"
"595","Tim Keating"
"596","Tim Steer"
"597","Tony Bartel"
"598","Turner Mason"
"599","Tyson Board"
"600","Vladimir Lisin"
"601","Vladimir Pligin"
"602","William Ackmans"
"603","William Suplee"
"604","Adam Kwok"
"605","Adrian President"
"606","Alan Meier"
"607","Alan Mulally"
"608","Alessandro Della"
"609","Alpha Asset"
"610","Alpha Strategies"
"611","Andrew Balls"
"612","Annette Vilhelmsen"
"613","Art Cohen"
"614","Asia Pacific"
"615","Barry Diller"
"616","Bentley Sales"
"617","Bo Xilaiwas"
"618","Bob Doll"
"619","Brent Saunders"
"620","Brian Cornell"
"621","Brian Friedman"
"622","Bryan Singer"
"623","Carl Black"
"624","Charles Perrin"
"625","Charles Plosser"
"626","Charlie O"
"627","Chris Bush"
"628","Christine M"
"629","Christopher Nolan"
"630","Christopher Williams"
"631","Craig Irwin"
"632","Dallas Federal"
"633","Daniel Ortega"
"634","Daren Blomquist"
"635","David Clarke"
"636","David Danziger"
"637","David Darnell"
"638","David Ganek"
"639","David Wiadrowski"
"640","Dominic Barton"
"641","Don Thompson"
"642","Doug Kass"
"643","Doug Oberhelman"
"644","Douglas Elliman"
"645","Ed Bugnion"
"646","Ed Yardeni"
"647","Eddy Cue"
"648","Edgar Bronfman"
"649","Enrique Pea"
"650","Fidel Castro"
"651","Fred Ehrsam"
"652","Garrett Camp"
"653","George Bush"
"654","George Washington"
"655","Harry Susman"
"656","Herbert Hoover"
"657","Howard Levine"
"658","Howard Lutnick"
"659","Howard Marks"
"660","Howard Wang"
"661","Hubert Segain"
"662","Hugh Hendry"
"663","Hugo Chvez"
"664","Jack Dubie"
"665","Jack Nash"
"666","Jan Koum"
"667","Jane Mendillo"
"668","Janet Yellens"
"669","Jason Furman"
"670","Jeff Hawkins"
"671","Jeff Immelt"
"672","Jeff Skogland"
"673","Jennifer Palmieri"
"674","Jensen Quality"
"675","Jeremy Allaire"
"676","Jerome Levy"
"677","Jimmy Iovine"
"678","Joe Biden"
"679","John Hussmann"
"680","John Mackey"
"681","John Miller"
"682","John Oakeswrotein"
"683","John Scouler"
"684","John Walsh"
"685","Jon Stryker"
"686","Jose Honorio"
"687","Josh Goldman"
"688","Kevon Hills"
"689","Kia Motors"
"690","Larry Fink"
"691","Lee Auto"
"692","Lee Miringoff"
"693","Leon Blackand"
"694","Libby Castle"
"695","Lincoln President"
"696","Logan International"
"697","Logan Property"
"698","Louis Bacon"
"699","Malaysia Airlines"
"700","Manuel Barroso"
"701","Manuel Santos"
"702","Maria Corina"
"703","Mark Patterson"
"704","Matt Barrie"
"705","Meg Whitman"
"706","Michael Angelakis"
"707","Michael Arrington"
"708","Michael Kors"
"709","Michael Novogratz"
"710","Michael O"
"711","Michelle Kadir"
"712","Mike Corbat"
"713","Mohamed Bin"
"714","Mustafa Kemal"
"715","Nancy Pelosi"
"716","Nick D"
"717","Nick Woodman"
"718","Norbert Ducrot"
"719","Pablo Iglesias"
"720","Palmer Luckey"
"721","Palmer United"
"722","Pat Russo"
"723","Paul Bassat"
"724","Paul Edelstein"
"725","Paul Ryan"
"726","Paul Tudor"
"727","Peter Hans"
"728","Peter Lynch"
"729","Reid Hoffman"
"730","Reid Hoffmann"
"731","Richard Bernstein"
"732","Roger Wyse"
"733","Ronald Perelman"
"734","Roy Zuckerman"
"735","Royal London"
"736","Rupert Stadler"
"737","Sam Hodges"
"738","Sam Ro"
"739","Sara Lee"
"740","Scott Bommer"
"741","Scott Galloway"
"742","Sergio Marchionne"
"743","Sherman Oaks"
"744","Sierra Club"
"745","Stanford Technology"
"746","Star Bond"
"747","Star Stock"
"748","Stephen Schwarzman"
"749","Stephen Smith"
"750","Steve Ballmer"
"751","Terrance Gregg"
"752","Thomas Kean"
"753","Thomas Kennedy"
"754","Todd Newman"
"755","Tom Newton"
"756","Tony Oblen"
"757","Tony Parker"
"758","Van Hoisington"
"759","Vicky Ward"
"760","Vincent Bollore"
"761","Vladimir Putinjust"
"762","Will Nef"
"763","William Blair"
"764","William C"
"765","Andrew Mason"
"766","Andy Bechtolsheim"
"767","Anne Moore"
"768","Anthony Scaramucci"
"769","Arya Toufanian"
"770","Ben Earley"
"771","Bernardo Hees"
"772","Bill Martin"
"773","Boston University"
"774","Brad Katsuyama"
"775","Brian Jamieson"
"776","Bryce Weiner"
"777","Carl Paladino"
"778","Carson Block"
"779","Chad Shackley"
"780","Charles Evans"
"781","Charles Schwab"
"782","Charlie Scharf"
"783","Christian HELP"
"784","Cleveland Clinic"
"785","Dan Hesse"
"786","Daniel Balmaceda"
"787","David Byttow"
"788","David Calhoun"
"789","David Gyngell"
"790","David Pyott"
"791","Donald Tusk"
"792","Donna Olshan"
"793","Ed DAgostino"
"794","Emilio II"
"795","Fannie Mae"
"796","Fernando Affonso"
"797","George Roberts"
"798","Graham Weston"
"799","Hank Greenberg"
"800","Harry Reid"
"801","Harvey Mudd"
"802","Hubert Joly"
"803","Irving Oil"
"804","Jack Erwin"
"805","Jack Smith"
"806","James Comey"
"807","James Holbrook"
"808","Jamie Dimon"
"809","Jay Gould"
"810","Jay Jacobs"
"811","Jay Simons"
"812","Jeff Bewkes"
"813","Jeff Saut"
"814","Jeff Smith"
"815","Jeffrey Bewkes"
"816","Jeffrey Immelt"
"817","Jerry Yang"
"818","Jim Chambers"
"819","John Burbank"
"820","John S"
"821","John Stumpf"
"822","John Thornton"
"823","Jon Corzine"
"824","Jonathan Bush"
"825","Joseph Corbett"
"826","Joshua Lehman"
"827","Julia La"
"828","Juniper CEO"
"829","Kathryn S"
"830","Lee Kuan"
"831","Leo Apotheker"
"832","Leslie Moonves"
"833","Marc Benioff"
"834","Margaret Chan"
"835","Mario Batali"
"836","Mario Draghis"
"837","Marissa Mayers"
"838","Mark Frissora"
"839","Mark Hurd"
"840","Marshall Wace"
"841","Mary Barra"
"842","Matthew Prince"
"843","Michael Collins"
"844","Michael Corbat"
"845","Michael Johnson"
"846","Michael Marcovici"
"847","Michael Pearson"
"848","Michael Rucci"
"849","Michael Terzich"
"850","Michelle Cavanaugh"
"851","Monty Moran"
"852","Monty Morans"
"853","Nick Graham"
"854","Nick Griffin"
"855","Nick Hayek"
"856","Nigel Farage"
"857","Oliver Williams"
"858","Patricia Woertz"
"859","Paula Schneider"
"860","Pedro Luis"
"861","Peter Kellner"
"862","Peter Sands"
"863","Phil Clarke"
"864","Pierre Petit"
"865","Prince Alwaleed"
"866","Rafael Reif"
"867","Ralph Nader"
"868","Ricardo Salgado"
"869","Richard Abramson"
"870","Rob Griffith"
"871","Robert Half"
"872","Robert Stein"
"873","Robert Thomas"
"874","Ronald Reagan"
"875","Ross Levinsohn"
"876","Roy Thomas"
"877","Rupert Murdoch"
"878","Scott Cook"
"879","Scott Dietzen"
"880","Scott Dobroski"
"881","Stan Fischer"
"882","Stanford President"
"883","Stephen Schwarzmann"
"884","Stephen Shearin"
"885","Steve Ells"
"886","Taylor Rhodes"
"887","Ted Cruz"
"888","Terry Lundgren"
"889","Tim Armstrong"
"890","Todd Combs"
"891","Todd Harrison"
"892","Tom Freston"
"893","Tony Weisman"
"894","Wilbur Ross"
"895","William Dudley"
"896","William Lewis"
"897","Abigail Johnson"
"898","Andy Kiersz"
"899","Blake Mycoskie"
"900","Bob Bradway"
"901","Brett Ratnerand"
"902","Brian Chesky"
"903","Campbell Soup"
"904","Charles Chao"
"905","Chris Strode"
"906","Cole Capital"
"907","David Friedman"
"908","Dick Costolosaid"
"909","Douglas Wolford"
"910","Dudley CEO"
"911","Edward Stack"
"912","Enrique Salem"
"913","Eric S"
"914","Eric Schurenberg"
"915","Francis Investment"
"916","Francisco Federal"
"917","Genaro Garcia"
"918","George Walker"
"919","German Foreign"
"920","Greg Brown"
"921","Hayes Advisory"
"922","Herman Van"
"923","Howard Buffett"
"924","Ireland Michael"
"925","Jeremy Stoppelman"
"926","Jim Hagemann"
"927","Joel Peterson"
"928","John Mulligan"
"929","John Varley"
"930","John Wren"
"931","Jon Oringer"
"932","Jon Stein"
"933","Jonathan Weinberg"
"934","Juan Carlos"
"935","Juniper Networks"
"936","Ken Lewis"
"937","Kevin Kelly"
"938","Leigh Drogen"
"939","Leonard Cheng"
"940","Lorenzo Grabau"
"941","Louis Federal"
"942","Lucas Jackson"
"943","Marcos Brindicci"
"944","Mark Benioff"
"945","Mark Hanna"
"946","Mark Hoffman"
"947","Mark Hurley"
"948","Marlon Luis"
"949","Mary Jo"
"950","Matt Rose"
"951","Merritt Research"
"952","Michael Heyward"
"953","Michael Wolf"
"954","Mike Jeffries"
"955","Nigel Farages"
"956","Paul Bulcke"
"957","Peter Kanyago"
"958","Philip Morris"
"959","Robin Li"
"960","Ronald Martinez"
"961","Royal Caribbean"
"962","Scott Farquhar"
"963","Sean Connolly"
"964","Steve Sanghi"
"965","Steve Starker"
"966","Stuart Schonberger"
"967","Sydney CEO"
"968","Tommy Humphreys"
"969","William Clark"
"970","William Conway"
"971","Benjamin Ruegsegger"
"972","Bridget A"
"973","Carson Wealth"
"974","Christopher Nassettas"
"975","Craig Winkler"
"976","David Barger"
"977","David Vogt"
"978","David Winters"
"979","Foster Wheeler"
"980","Fritz Henderson"
"981","Greg Young"
"982","Ignacio Sosa"
"983","James Bullard"
"984","Jeremy Grantham"
"985","Jessica Rinaldi"
"986","Jim Koch"
"987","Jimmy Lee"
"988","John Boyd"
"989","John Chambersin"
"990","Jon Fisher"
"991","Jonathan Lu"
"992","Josef Resch"
"993","Justin Sullivan"
"994","Keith Alexander"
"995","Manuel Barrososaid"
"996","Paul Audley"
"997","Richard Ketchum"
"998","Scott Schuberg"
"999","Sherwood Equities"
"1000","Stewart Living"
"1001","Warner CEO"
"1002","Warner Chief"
"1003","Wayne Hsieh"
"1004","William Wei"
"1005","Alan H"
"1006","Alexandria Real"
"1007","Andy Marsh"
"1008","Archer Daniels"
"1009","Asia CEO"
"1010","Bill O"
"1011","Charles W"
"1012","Cynthia Cole"
"1013","Dan Akerson"
"1014","Elizabeth Holmes"
"1015","John Mack"
"1016","Kelley CEO"
"1017","Kenneth Bentsen"
"1018","Lars Dalgaard"
"1019","Mark Thompson"
"1020","Robert Hanson"
"1021","Robin Lewis"
"1022","Scott Applewhite"
"1023","Skye Gould"
"1024","Stephanie Taylor"
"1025","Tim Massad"
"1026","Walker Capital"
